description;web_url;s3_object_path;exists_in_s3;exists_metadata_json;file_extension
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=189;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/a5/00/MEN_PTA_C7_CDA.pdf;True;True;pdf
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=358;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/8c/ca/udea_g10par_cna_m7_c2_inf06_V2 PDF.pdf;True;True;pdf
...;https://especiales.colombiaaprende.edu.co/tejiendosaberes/banco_recursos.html;s3://men-prod-clean-data/contenidos_formativos/EDUSITIO_TEJIENDO_SABERES/archivos/MEFC1ALF.4.1.27.txt;True;True;txt
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=187;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/ef/23/MEN_PTA_C6_LAB_PEDAGOGICO.pdf;True;True;pdf
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=257;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/6b/06/MEN_ESC_C4_M3_VS02_Ver2_baja.txt;True;False;txt
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=255;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/8f/de/MEN_ESC_C2_M4_AN02_Ver2.txt;True;False;txt
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=277;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/ed/0c/Protocolo Taller de pronfundización asincrónico..pdf;True;True;pdf
...;https://movil.colombiaaprende.edu.co/media/24/download;s3://men-prod-clean-data/contenidos_formativos/APRENDER_DIGITAL_LIGERA_MOVIL/pages/_media_24_download.txt;True;True;txt
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=329;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/a1/b2/MEF_PR_INF04.pdf;True;True;pdf
...;https://especiales.colombiaaprende.edu.co/tejiendosaberes/banco_recursos.html;s3://men-prod-clean-data/contenidos_formativos/EDUSITIO_TEJIENDO_SABERES/archivos/MEFC1ALF.3.1.21.txt;True;True;txt
